word| Spanish| How to say
Доброе утро! Добрый день! | Buenos días |Буэнос диас
Добрый вечер!|Buenas tardes|Буэнос тардэс
Доброй ночи!|Buenas noches  |Буэнос ночэс
Привет!|Hola  |Ола
Как оно? (используют как приветствие)|Que hay |Ке ай
Что случилось (как вопрос или приветствие)|Que pasa Que paso (в Мексике)|Ке паса Ке пасо
До свиданье! Пока! | Adiós |Адёс
До скорого!|Hasta luego  |Аста луэго
Пожалуйста|Por favor  |Пор фавор
Спасибо|Gracias  |Грацыяс
Не за что|De nada |Дэ нада
Извините|Disculpe |Дискульпэ
Не важно (ничего страшного)|No importa  |Но импорта
Как дела?|¿Cómo estás? ¿Qué tal?|Комо эстас? Ке таль
Хорошо, спасибо|Bien, gracias  |Биен грацыяс
Как тебя зовут? |¿Cómo te llamas? |Комо тэ ямас?
Меня зовут Андрэс|Me llamo Andres  |Мэ ямо Андрэс
Очень приятно|Mucho gusto |Мучо густо
Извините|Perdón |Пэрдон
Помогите|¡Ayudame!| Аюдамэ!
Могли бы Вы говорить медленнее?|¿Podría hablar más despacio?|Подриа аблар мас дэспасио.
Не могли бы Вы мне помочь, пожалуйста?|¿Me puede ayudar por favor?|Мэ пудэ аюдар пор фавор
Согласен|De acuerdo|Дэ акуэрдо
Конечно|Por supuesto|Пор супуэсто.
Кто?|¿Quién?|Кьен?
Что?|¿Qué?|Ке?
Почему?|¿Por qué?|Пор ке?
Когда?|¿Cuándo?|Куандо?
Где?|¿Dónde?|Дондэ?
Как?|¿Cómo?|Комо?
