word			| Spanish		| How to say
Частые фразы	|Palabras Frescuentes			| 
Хорошо			|Bien			| 
Плохо			|Malo			| 			
Хороший			|Bueno			| 
Плохой			|Malo			| 
Красивый		|Bonito			| 
Не Красивый		|Feo			| 
Не Плохо		|No esta Malo	| 
Где это?		|Donde esta?	| 
Это тут			|Esta aqui		| 
Это там			|Esta alli		| 
Смотри			|Mira			| 
Твердый			|Duro			| 
Мягкий			|Blando			| 
Направо			|A la derecha	| 
Налево			|A la izquiedra	| 
Внимание		|Atencion		| 
Поздравляю		|Felicidades	| 
Внутри			|Dentro			| 
Снаружи			|Fuera			| 
Вперед			|Adelante		| 
Назад			|Atras			| 
Семья			|Familia		|
Отец			|Padre/papa		|
Мать			|Madre/Mama		| 
Брат			|Hermano		| 
Сестра			|Hermana		| 
Дядя			|Tio			| 
Тетя			|Tia			| 
Дедушка			|Abuelo			| 
Бабушка			|Abuela			| 
Зная Дом		|Conociendo la casa| 
Это твоя комната







