word			| Spanish		| How to say
Частые фразы	|Palabras Frescuentes			| 
Хорошо			|Bien			| 
Плохо			|Malo			| 			
Хороший			|Bueno			| 
Плохой			|Malo			| 
Красивый		|Bonito			| 
Не Красивый		|Feo			| 
Не Плохо		|No esta Malo	| 
Где это?		|Donde esta?	| 
Это тут			|Esta aqui		| 
Это там			|Esta alli		| 
Смотри			|Mira			| 
Твердый			|Duro			| 
Мягкий			|Blando			| 
Направо			|A la derecha	| 
Налево			|A la izquiedra	| 
Внимание		|Atencion		| 
Поздравляю		|Felicidades	| 
Внутри			|Dentro			| 
Снаружи			|Fuera			| 
Вперед			|Adelante		| 
Назад			|Atras			| 

Вход			|Entrada		| 
Выход			|Salida			| 
Быстро			|Rapido			| 
Медленно		|Lento			| 
Далеко			|Lejos			| 
Близко			|Cerca			| 
Сверху			|Arriba 		| 
Снизу			|Abaho			| 
Длинный	 		|Largo			| 
Короткий		|Corto			| 
Высоко			|Alto			| 
Низко			|Bajo			| 

Семья			|Familia		|
Отец			|Padre/papa		|
Мать			|Madre/Mama		| 
Брат			|Hermano		| 
Сестра			|Hermana		| 
Дядя			|Tio			| Тио
Тетя			|Tia			| Тиа
Дедушка			|Abuelo			| Абуэло
Бабушка			|Abuela			| Абуэла

Зная Дом		|Conociendo la casa| 
Это твоя комната|Este es tu cuarto|
Это туалет		|Este es el cuarto be bano|
Это гостинная	|Este es el salon|
Это кухня		|Esta es la cosina|
Это холодильник	|Este es el frigorigico|
Тут будут твои вещи|Aqui estaran tus cosas|
Что ты хочешь делать позже?|Que quieres hacer despues?|
Тебе удобно?|Estas comodo/comoda?|
Выключатель тут|El interraptor esta aqui|
Что ты хочешь сейчас делать?|Que quieres haser ahora?|








